Comment,Designator,Footprint,LCSC Part #
1M,12,R0402,C327799
1k,2 5 13,R0402,C11702
1.2k,R7 R8,R0402,C413082
1.5k,R1 R19,R0402,C25867
2.7k,R10 R14 R18 R21,R0402,C416505
2.2n,C11,C0402,C2987940
3k,11,R0402,C278590
3.3n,C9,C0402,C1518207
4.7k,15,R0402,C25900
6.8k,R11 R13 R15,R0402,C323629
10k,10 R4,R0402,C25744
10n,C8,C0402,C3855387
12k,R17 R20,R0402,C25752
15k,16 R2 R5 R6 R9,R0402,C25756
20k,6 14,R0402,C25765
22n,C7,C0402,C513667
33k,9,R0402,C25779
68k,8 R3,R0402,C36871
100k,4 7,R0402,C25741
100n,C2 C6,C0402,C307331
100n,C12 C13,C0402,C307331
100u 25V,C1,UD-4X5,C2992602
180k,R12 R16,R0402,C323674
200k,R22,S64W,C118942
220k,1,R0402,C25767
220n,C10,C0402,C2992619
300k,17,R0402,C413115
470n,C3 C4 C5,C0402,C437527
MC1496DR2G,U1,SO14,C7295
TL072JT,IC2,TSSOP8,C90748
TL074JT,IC1,TSSOP14,C2652279
