Designator,Mid X,Mid Y,Layer,Rotation
1,0.95,15.24,Top,90
2,6.99,5.71,Top,0
4,6.99,6.99,Top,180
5,6.35,13.97,Top,270
6,7.62,13.97,Top,90
7,4.13,15.24,Top,270
8,10.16,13.97,Top,90
9,16.51,11.43,Top,90
10,15.24,11.43,Top,90
11,13.97,11.43,Top,90
12,14.61,8.89,Top,270
13,12.7,13.97,Top,270
14,11.43,13.97,Top,90
15,15.24,3.81,Top,270
16,13.97,3.81,Top,90
17,11.43,3.81,Top,90
C1,30.16,15.56,Top,0
C2,27.3,8.89,Top,90
C3,10.16,3.81,Top,90
C4,2.86,15.24,Top,270
C5,8.89,13.97,Top,90
C6,16.51,13.97,Top,270
C7,15.24,13.97,Top,270
C8,13.97,13.97,Top,270
C9,15.88,8.89,Top,90
C10,16.51,3.81,Top,270
C11,12.7,3.81,Top,270
C12,6.99,9.53,Top,0
C13,6.99,8.26,Top,180
IC1,10.79,8.89,Top,180
IC2,29.85,8.89,Top,0
R1,27.3,13.97,Top,90
R2,32.07,3.81,Top,270
R3,32.07,10.16,Top,90
R4,32.07,7.62,Top,90
R5,28.58,3.81,Top,90
R6,27.3,3.81,Top,90
R7,26.04,3.81,Top,270
R8,18.41,13.97,Top,270
R9,30.8,3.81,Top,270
R10,22.86,3.81,Top,90
R11,20.32,3.81,Top,90
R12,21.59,3.81,Top,90
R13,24.13,3.81,Top,90
R14,17.78,3.81,Top,90
R15,19.05,3.81,Top,90
R16,19.69,13.97,Top,270
R17,20.96,13.97,Top,90
R18,22.23,13.97,Top,90
R19,26.04,13.97,Top,270
R20,23.5,13.97,Top,90
R21,24.77,13.97,Top,90
R22,1.59,8.89,Top,360
T1,2.86,2.22,Top,180
U1,21.91,8.89,Top,180
X11,16.51,1.27,Top,0
X12,16.51,16.51,Top,180
