Designator,Mid X,Mid Y,Layer,Rotation
C1,29.85,14.29,Top,270.0
C2,18.10,14.29,Top,90.0
IC1,22.23,14.29,Top,0.0
R1,28.58,21.27,Top,90.0
R2,26.04,21.27,Top,270.0
R3,23.50,21.27,Top,90.0
R4,20.96,21.27,Top,270.0
R5,18.41,21.27,Top,270.0
R6,15.88,21.27,Top,270.0
R7,13.34,21.27,Top,90.0
R8, 8.26,21.27,Top,270.0
R9,10.79,21.27,Top,90.0
R10, 5.71,21.27,Top,90.0
R11,10.79, 7.30,Top,90.0
R12,13.34, 7.30,Top,90.0
R13, 8.26, 7.30,Top,90.0
R14, 3.18, 7.30,Top,90.0
R15, 5.71, 7.30,Top,90.0
R16,18.41, 7.30,Top,90.0
R17,20.96, 7.30,Top,270.0
R18,23.50, 7.30,Top,270.0
R19,26.04, 7.30,Top,90.0
R20,28.58, 7.30,Top,270.0
R21,31.12, 7.30,Top,270.0
U1, 5.40,14.29,Top,0.0
